Time,HF.Bottom,HF.Top,AirTemp_Mean,AirTemp_Max,AirTemp_Min,Humid_Mean,Humid_Max,Humid_Min,BaroPressure,NetRad,WindSpeed,Rainfall,Soil_T_Z040,Soil_T_Z070,Soil_T_Z100,Soil_T_Z150,Soil_T_Z250,Soil_T_Z350,Soil_T_Z450,Soil_T_Z550,Soil_T_Z650,Soil_T_Z750,Soil_T_Z800,Soil_T_Z850,Soil_T_Z900,Suction_Z100,Suction_Z250,Suction_Z350,Suction_Z450,Suction_Z650,Suction_Z750,TC750,TC550,TC350,TC250,VWC_Z100,VWC_Z250,VWC_Z350,VWC_Z450,VWC_Z550,VWC_Z650,VWC_Z750,Drainage,PET
2019-07-18 00:00:00,-0.25,-3.67,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.16,16.88,17.24,17.39,17.58,17.53,17.65,17.59,17.52,17.53,17.3,17.34,17.33,3629.2,176.86,201.24,18.3,12.35,12.29,1.27,1.14,0.71,0.66,8.02,3.24,2.8,6.7,11.5,13.39,15.7,0.0,2.82
2019-07-18 00:15:00,-0.21,-3.59,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.16,16.86,17.21,17.37,17.58,17.57,17.65,17.59,17.52,17.53,17.3,17.35,17.33,3639.18,177.13,201.82,18.3,12.35,12.29,1.27,1.14,0.71,0.66,8.01,3.25,2.8,6.71,11.5,13.39,15.7,0.0,2.82
2019-07-18 00:30:00,-0.21,-3.5,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.15,16.83,17.19,17.35,17.58,17.57,17.65,17.59,17.52,17.53,17.31,17.35,17.34,3639.18,177.62,201.82,18.3,12.35,12.29,1.27,1.14,0.71,0.66,8.01,3.25,2.8,6.71,11.5,13.39,15.7,0.0,2.82
2019-07-18 00:45:00,-0.21,-3.46,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.12,16.88,17.22,17.39,17.61,17.57,17.65,17.63,17.52,17.53,17.32,17.36,17.34,3639.18,178.25,202.17,18.3,12.35,12.27,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.72,11.5,13.39,15.7,0.0,2.82
2019-07-18 01:00:00,-0.21,-3.46,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.1,16.91,17.21,17.42,17.62,17.57,17.65,17.66,17.52,17.57,17.32,17.36,17.34,3666.12,179.14,202.17,18.3,12.35,12.26,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.74,11.5,13.39,15.7,0.0,2.82
2019-07-18 01:15:00,-0.21,-3.41,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.1,16.9,17.19,17.42,17.63,17.57,17.65,17.67,17.52,17.57,17.33,17.37,17.35,3666.12,180.45,202.17,18.3,12.35,12.24,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.74,11.5,13.39,15.7,0.0,2.82
2019-07-18 01:30:00,-0.21,-3.36,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.11,16.88,17.18,17.39,17.62,17.57,17.65,17.66,17.52,17.6,17.33,17.37,17.36,3674.1,181.01,202.17,18.28,12.35,12.22,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.74,11.5,13.39,15.7,0.0,2.82
2019-07-18 01:45:00,-0.21,-3.34,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.09,16.84,17.16,17.35,17.61,17.57,17.65,17.65,17.52,17.6,17.34,17.38,17.36,3674.1,181.61,202.36,18.27,12.35,12.22,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.75,11.5,13.38,15.7,0.0,2.82
2019-07-18 02:00:00,-0.17,-3.26,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.1,17.09,17.27,17.6,17.71,17.57,17.65,17.67,17.52,17.6,17.34,17.38,17.36,3687.41,182.43,203.21,18.26,12.35,12.23,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.75,11.5,13.38,15.7,0.0,2.82
2019-07-18 02:15:00,-0.16,-3.25,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.08,16.85,17.15,17.36,17.61,17.57,17.68,17.67,17.55,17.6,17.34,17.39,17.37,3688.59,182.86,202.36,18.26,12.35,12.23,1.27,1.14,0.71,0.66,8.0,3.25,2.8,6.75,11.5,13.38,15.7,0.0,2.82
2019-07-18 02:30:00,-0.16,-3.27,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.04,16.8,17.1,17.31,17.59,17.57,17.68,17.67,17.55,17.6,17.35,17.39,17.37,3688.59,183.45,203.21,18.25,12.35,12.26,1.27,1.14,0.71,0.66,7.99,3.25,2.8,6.75,11.5,13.38,15.7,0.0,2.82
2019-07-18 02:45:00,-0.16,-3.36,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,16.0,16.74,17.07,17.25,17.55,17.57,17.68,17.66,17.58,17.6,17.36,17.39,17.38,3688.59,184.6,204.55,18.25,12.35,12.26,1.27,1.14,0.71,0.66,7.98,3.25,2.8,6.75,11.5,13.38,15.7,0.0,2.82
2019-07-18 03:00:00,-0.13,-3.58,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.92,16.7,17.04,17.23,17.54,17.57,17.68,17.68,17.58,17.6,17.36,17.4,17.38,3688.59,185.59,205.35,18.25,12.35,12.3,1.27,1.14,0.71,0.66,7.98,3.25,2.8,6.76,11.5,13.38,15.7,0.0,2.82
2019-07-18 03:15:00,-0.11,-4.02,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.83,16.64,17.02,17.21,17.54,17.57,17.7,17.68,17.58,17.6,17.37,17.41,17.38,3706.76,186.82,204.55,18.25,12.35,12.3,1.27,1.14,0.71,0.66,7.98,3.25,2.8,6.76,11.5,13.38,15.7,0.0,2.82
2019-07-18 03:30:00,-0.1,-4.45,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.73,16.57,17.0,17.18,17.53,17.57,17.7,17.68,17.6,17.6,17.37,17.41,17.39,3706.76,187.3,205.74,18.25,12.35,12.28,1.27,1.14,0.71,0.66,7.98,3.24,2.8,6.77,11.5,13.38,15.7,0.0,2.82
2019-07-18 03:45:00,-0.1,-4.93,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.62,16.49,16.94,17.15,17.52,17.57,17.73,17.68,17.6,17.63,17.37,17.42,17.39,3729.42,187.78,206.19,18.25,12.35,12.28,1.27,1.14,0.71,0.66,7.97,3.25,2.8,6.78,11.5,13.38,15.7,0.0,2.82
2019-07-18 04:00:00,-0.1,-5.54,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.49,16.4,16.92,17.12,17.51,17.57,17.73,17.68,17.62,17.63,17.38,17.42,17.4,3734.62,188.22,207.18,18.25,12.35,12.26,1.27,1.14,0.71,0.66,7.96,3.24,2.81,6.78,11.51,13.37,15.7,0.0,2.82
2019-07-18 04:15:00,-0.05,-6.06,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.38,16.31,16.89,17.09,17.49,17.57,17.73,17.68,17.62,17.63,17.39,17.43,17.4,3734.62,188.69,207.18,18.25,12.35,12.26,1.27,1.14,0.71,0.66,7.96,3.24,2.81,6.78,11.51,13.38,15.7,0.0,2.82
2019-07-18 04:30:00,-0.01,-6.49,16.5,20.4,12.9,64.2,83.9,44.1,998.6,57.3,2.7,0.2,15.26,16.22,16.85,17.05,17.48,17.57,17.73,17.68,17.62,17.63,17.39,17.43,17.41,3734.62,189.81,207.18,18.25,12.35,12.24,1.27,1.14,0.71,0.66,7.95,3.24,2.81,6.78,11.5,13.38,15.69,0.0,2.82
