Time,Height,SoilTemp,Suction,ThermalConductivity,VWC
2019-07-18 00:00:00,40.0,16.16,,,
2019-07-18 00:00:00,70.0,16.88,,,
2019-07-18 00:00:00,100.0,17.24,3629.2,,8.02
2019-07-18 00:00:00,150.0,17.39,,,
2019-07-18 00:00:00,250.0,17.58,176.86,0.66,3.24
2019-07-18 00:00:00,350.0,17.53,201.24,0.71,2.8
2019-07-18 00:00:00,450.0,17.65,18.3,,6.7
2019-07-18 00:00:00,550.0,17.59,,1.14,11.5
2019-07-18 00:00:00,650.0,17.52,12.35,,13.39
2019-07-18 00:00:00,750.0,17.53,12.29,1.27,15.7
2019-07-18 00:00:00,800.0,17.3,,,
2019-07-18 00:00:00,850.0,17.34,,,
2019-07-18 00:00:00,900.0,17.33,,,
2019-07-18 00:15:00,40.0,16.16,,,
2019-07-18 00:15:00,70.0,16.86,,,
2019-07-18 00:15:00,100.0,17.21,3639.18,,8.01
2019-07-18 00:15:00,150.0,17.37,,,
2019-07-18 00:15:00,250.0,17.58,177.13,0.66,3.25
2019-07-18 00:15:00,350.0,17.57,201.82,0.71,2.8
2019-07-18 00:15:00,450.0,17.65,18.3,,6.71
2019-07-18 00:15:00,550.0,17.59,,1.14,11.5
2019-07-18 00:15:00,650.0,17.52,12.35,,13.39
2019-07-18 00:15:00,750.0,17.53,12.29,1.27,15.7
2019-07-18 00:15:00,800.0,17.3,,,
2019-07-18 00:15:00,850.0,17.35,,,
2019-07-18 00:15:00,900.0,17.33,,,
2019-07-18 00:30:00,40.0,16.15,,,
2019-07-18 00:30:00,70.0,16.83,,,
2019-07-18 00:30:00,100.0,17.19,3639.18,,8.01
2019-07-18 00:30:00,150.0,17.35,,,
2019-07-18 00:30:00,250.0,17.58,177.62,0.66,3.25
2019-07-18 00:30:00,350.0,17.57,201.82,0.71,2.8
2019-07-18 00:30:00,450.0,17.65,18.3,,6.71
2019-07-18 00:30:00,550.0,17.59,,1.14,11.5
2019-07-18 00:30:00,650.0,17.52,12.35,,13.39
2019-07-18 00:30:00,750.0,17.53,12.29,1.27,15.7
2019-07-18 00:30:00,800.0,17.31,,,
2019-07-18 00:30:00,850.0,17.35,,,
2019-07-18 00:30:00,900.0,17.34,,,
2019-07-18 00:45:00,40.0,16.12,,,
2019-07-18 00:45:00,70.0,16.88,,,
2019-07-18 00:45:00,100.0,17.22,3639.18,,8.0
2019-07-18 00:45:00,150.0,17.39,,,
2019-07-18 00:45:00,250.0,17.61,178.25,0.66,3.25
2019-07-18 00:45:00,350.0,17.57,202.17,0.71,2.8
2019-07-18 00:45:00,450.0,17.65,18.3,,6.72
2019-07-18 00:45:00,550.0,17.63,,1.14,11.5
2019-07-18 00:45:00,650.0,17.52,12.35,,13.39
2019-07-18 00:45:00,750.0,17.53,12.27,1.27,15.7
2019-07-18 00:45:00,800.0,17.32,,,
2019-07-18 00:45:00,850.0,17.36,,,
2019-07-18 00:45:00,900.0,17.34,,,
2019-07-18 01:00:00,40.0,16.1,,,
2019-07-18 01:00:00,70.0,16.91,,,
2019-07-18 01:00:00,100.0,17.21,3666.12,,8.0
2019-07-18 01:00:00,150.0,17.42,,,
2019-07-18 01:00:00,250.0,17.62,179.14,0.66,3.25
2019-07-18 01:00:00,350.0,17.57,202.17,0.71,2.8
2019-07-18 01:00:00,450.0,17.65,18.3,,6.74
2019-07-18 01:00:00,550.0,17.66,,1.14,11.5
2019-07-18 01:00:00,650.0,17.52,12.35,,13.39
2019-07-18 01:00:00,750.0,17.57,12.26,1.27,15.7
2019-07-18 01:00:00,800.0,17.32,,,
2019-07-18 01:00:00,850.0,17.36,,,
2019-07-18 01:00:00,900.0,17.34,,,
2019-07-18 01:15:00,40.0,16.1,,,
2019-07-18 01:15:00,70.0,16.9,,,
2019-07-18 01:15:00,100.0,17.19,3666.12,,8.0
2019-07-18 01:15:00,150.0,17.42,,,
2019-07-18 01:15:00,250.0,17.63,180.45,0.66,3.25
2019-07-18 01:15:00,350.0,17.57,202.17,0.71,2.8
2019-07-18 01:15:00,450.0,17.65,18.3,,6.74
2019-07-18 01:15:00,550.0,17.67,,1.14,11.5
2019-07-18 01:15:00,650.0,17.52,12.35,,13.39
2019-07-18 01:15:00,750.0,17.57,12.24,1.27,15.7
2019-07-18 01:15:00,800.0,17.33,,,
2019-07-18 01:15:00,850.0,17.37,,,
2019-07-18 01:15:00,900.0,17.35,,,
2019-07-18 01:30:00,40.0,16.11,,,
2019-07-18 01:30:00,70.0,16.88,,,
2019-07-18 01:30:00,100.0,17.18,3674.1,,8.0
2019-07-18 01:30:00,150.0,17.39,,,
2019-07-18 01:30:00,250.0,17.62,181.01,0.66,3.25
2019-07-18 01:30:00,350.0,17.57,202.17,0.71,2.8
2019-07-18 01:30:00,450.0,17.65,18.28,,6.74
2019-07-18 01:30:00,550.0,17.66,,1.14,11.5
2019-07-18 01:30:00,650.0,17.52,12.35,,13.39
2019-07-18 01:30:00,750.0,17.6,12.22,1.27,15.7
2019-07-18 01:30:00,800.0,17.33,,,
2019-07-18 01:30:00,850.0,17.37,,,
2019-07-18 01:30:00,900.0,17.36,,,
2019-07-18 01:45:00,40.0,16.09,,,
2019-07-18 01:45:00,70.0,16.84,,,
2019-07-18 01:45:00,100.0,17.16,3674.1,,8.0
2019-07-18 01:45:00,150.0,17.35,,,
2019-07-18 01:45:00,250.0,17.61,181.61,0.66,3.25
2019-07-18 01:45:00,350.0,17.57,202.36,0.71,2.8
2019-07-18 01:45:00,450.0,17.65,18.27,,6.75
2019-07-18 01:45:00,550.0,17.65,,1.14,11.5
2019-07-18 01:45:00,650.0,17.52,12.35,,13.38
2019-07-18 01:45:00,750.0,17.6,12.22,1.27,15.7
2019-07-18 01:45:00,800.0,17.34,,,
2019-07-18 01:45:00,850.0,17.38,,,
2019-07-18 01:45:00,900.0,17.36,,,
2019-07-18 02:00:00,40.0,16.1,,,
2019-07-18 02:00:00,70.0,17.09,,,
2019-07-18 02:00:00,100.0,17.27,3687.41,,8.0
2019-07-18 02:00:00,150.0,17.6,,,
2019-07-18 02:00:00,250.0,17.71,182.43,0.66,3.25
2019-07-18 02:00:00,350.0,17.57,203.21,0.71,2.8
2019-07-18 02:00:00,450.0,17.65,18.26,,6.75
2019-07-18 02:00:00,550.0,17.67,,1.14,11.5
2019-07-18 02:00:00,650.0,17.52,12.35,,13.38
2019-07-18 02:00:00,750.0,17.6,12.23,1.27,15.7
2019-07-18 02:00:00,800.0,17.34,,,
2019-07-18 02:00:00,850.0,17.38,,,
2019-07-18 02:00:00,900.0,17.36,,,
2019-07-18 02:15:00,40.0,16.08,,,
2019-07-18 02:15:00,70.0,16.85,,,
2019-07-18 02:15:00,100.0,17.15,3688.59,,8.0
2019-07-18 02:15:00,150.0,17.36,,,
2019-07-18 02:15:00,250.0,17.61,182.86,0.66,3.25
2019-07-18 02:15:00,350.0,17.57,202.36,0.71,2.8
2019-07-18 02:15:00,450.0,17.68,18.26,,6.75
2019-07-18 02:15:00,550.0,17.67,,1.14,11.5
2019-07-18 02:15:00,650.0,17.55,12.35,,13.38
2019-07-18 02:15:00,750.0,17.6,12.23,1.27,15.7
2019-07-18 02:15:00,800.0,17.34,,,
2019-07-18 02:15:00,850.0,17.39,,,
2019-07-18 02:15:00,900.0,17.37,,,
2019-07-18 02:30:00,40.0,16.04,,,
2019-07-18 02:30:00,70.0,16.8,,,
2019-07-18 02:30:00,100.0,17.1,3688.59,,7.99
2019-07-18 02:30:00,150.0,17.31,,,
2019-07-18 02:30:00,250.0,17.59,183.45,0.66,3.25
2019-07-18 02:30:00,350.0,17.57,203.21,0.71,2.8
2019-07-18 02:30:00,450.0,17.68,18.25,,6.75
2019-07-18 02:30:00,550.0,17.67,,1.14,11.5
2019-07-18 02:30:00,650.0,17.55,12.35,,13.38
2019-07-18 02:30:00,750.0,17.6,12.26,1.27,15.7
2019-07-18 02:30:00,800.0,17.35,,,
2019-07-18 02:30:00,850.0,17.39,,,
2019-07-18 02:30:00,900.0,17.37,,,
2019-07-18 02:45:00,40.0,16.0,,,
2019-07-18 02:45:00,70.0,16.74,,,
2019-07-18 02:45:00,100.0,17.07,3688.59,,7.98
2019-07-18 02:45:00,150.0,17.25,,,
2019-07-18 02:45:00,250.0,17.55,184.6,0.66,3.25
2019-07-18 02:45:00,350.0,17.57,204.55,0.71,2.8
2019-07-18 02:45:00,450.0,17.68,18.25,,6.75
2019-07-18 02:45:00,550.0,17.66,,1.14,11.5
2019-07-18 02:45:00,650.0,17.58,12.35,,13.38
2019-07-18 02:45:00,750.0,17.6,12.26,1.27,15.7
2019-07-18 02:45:00,800.0,17.36,,,
2019-07-18 02:45:00,850.0,17.39,,,
2019-07-18 02:45:00,900.0,17.38,,,
2019-07-18 03:00:00,40.0,15.92,,,
2019-07-18 03:00:00,70.0,16.7,,,
2019-07-18 03:00:00,100.0,17.04,3688.59,,7.98
2019-07-18 03:00:00,150.0,17.23,,,
2019-07-18 03:00:00,250.0,17.54,185.59,0.66,3.25
2019-07-18 03:00:00,350.0,17.57,205.35,0.71,2.8
2019-07-18 03:00:00,450.0,17.68,18.25,,6.76
2019-07-18 03:00:00,550.0,17.68,,1.14,11.5
2019-07-18 03:00:00,650.0,17.58,12.35,,13.38
2019-07-18 03:00:00,750.0,17.6,12.3,1.27,15.7
2019-07-18 03:00:00,800.0,17.36,,,
2019-07-18 03:00:00,850.0,17.4,,,
2019-07-18 03:00:00,900.0,17.38,,,
2019-07-18 03:15:00,40.0,15.83,,,
2019-07-18 03:15:00,70.0,16.64,,,
2019-07-18 03:15:00,100.0,17.02,3706.76,,7.98
2019-07-18 03:15:00,150.0,17.21,,,
2019-07-18 03:15:00,250.0,17.54,186.82,0.66,3.25
2019-07-18 03:15:00,350.0,17.57,204.55,0.7091666666666666,2.8
2019-07-18 03:15:00,450.0,17.7,18.25,,6.76
