Soil_Temperature,Predictor,R2
Soil_T_Z100,AirTemp_Mean,0.6676185620153713
Soil_T_Z040,AirTemp_Mean,0.6528829208646699
Soil_T_Z150,AirTemp_Mean,0.6393626742412989
Soil_T_Z070,AirTemp_Mean,0.6365797308671521
Soil_T_Z850,HF.Bottom,0.6359368107126071
Soil_T_Z800,HF.Bottom,0.6063412405733873
Soil_T_Z100,AirTemp_Min,0.6052632181968303
Soil_T_Z350,Suction_Z450,0.5971245450591571
Soil_T_Z450,Suction_Z450,0.5928412022817307
Soil_T_Z550,Suction_Z450,0.5858372959065001
Soil_T_Z150,AirTemp_Min,0.5838926574415564
Soil_T_Z900,HF.Bottom,0.5828465606003543
Soil_T_Z040,AirTemp_Min,0.5778259412940103
Soil_T_Z070,AirTemp_Min,0.5669730963862071
Soil_T_Z650,Suction_Z450,0.5591769374013318
Soil_T_Z250,AirTemp_Mean,0.5542806003098261
Soil_T_Z250,Suction_Z450,0.5514527586470734
Soil_T_Z550,TC350,0.5398610776865355
Soil_T_Z450,TC350,0.5360950402163134
Soil_T_Z750,Suction_Z450,0.5283626760223276
Soil_T_Z650,TC350,0.5281245102398435
Soil_T_Z350,TC350,0.5238847382076282
Soil_T_Z250,AirTemp_Min,0.5236536336214971
Soil_T_Z550,TC250,0.5218389633728817
Soil_T_Z450,TC250,0.5186281750820227
Soil_T_Z350,Suction_Z350,0.5124326923630166
Soil_T_Z650,TC250,0.5120286997500201
Soil_T_Z750,TC350,0.5097184663622892
Soil_T_Z450,Suction_Z350,0.5090687220991367
Soil_T_Z350,TC250,0.5052046382859561
Soil_T_Z550,Suction_Z350,0.5049481868423812
Soil_T_Z350,AirTemp_Mean,0.5007277294828593
Soil_T_Z040,AirTemp_Max,0.49654456424419524
Soil_T_Z750,TC250,0.4955214875234426
Soil_T_Z550,Suction_Z650,0.48556568206573436
Soil_T_Z450,Suction_Z650,0.4818886435704457
Soil_T_Z650,Suction_Z350,0.4790873135887216
Soil_T_Z350,AirTemp_Min,0.4790398554493227
Soil_T_Z900,Suction_Z450,0.478121831023943
Soil_T_Z750,HF.Bottom,0.47736729521923205
Soil_T_Z350,Suction_Z650,0.47626489891931345
Soil_T_Z100,AirTemp_Max,0.475858352459547
Soil_T_Z070,AirTemp_Max,0.47550893906732883
Soil_T_Z250,TC350,0.4737265178119555
Soil_T_Z800,Suction_Z450,0.4729586032600307
Soil_T_Z900,TC350,0.4727709895861911
Soil_T_Z800,TC350,0.46934367533537946
Soil_T_Z250,Suction_Z350,0.46909072585534706
Soil_T_Z650,Suction_Z650,0.4629839427698843
Soil_T_Z850,Suction_Z450,0.46192917580854354
Soil_T_Z850,TC350,0.46122796655615694
Soil_T_Z900,TC250,0.4598395890568586
Soil_T_Z800,TC250,0.4571859241701024
Soil_T_Z850,Suction_Z750,0.4553655709282539
Soil_T_Z250,TC250,0.4511749776504942
Soil_T_Z750,Suction_Z350,0.4509077919775032
Soil_T_Z850,TC250,0.4503586514960962
Soil_T_Z800,Suction_Z750,0.44751871991839587
Soil_T_Z150,AirTemp_Max,0.4452134684836637
Soil_T_Z900,Suction_Z750,0.44329913238380814
Soil_T_Z450,AirTemp_Mean,0.43873217264759334
Soil_T_Z150,Suction_Z450,0.43703382882289055
Soil_T_Z750,Suction_Z650,0.4359610094346109
Soil_T_Z550,Suction_Z100,0.4305558610860103
Soil_T_Z650,Suction_Z100,0.42669520231756874
Soil_T_Z350,TC550,0.4256454927121548
Soil_T_Z100,Suction_Z450,0.4245767709069519
Soil_T_Z450,TC550,0.42344954665111234
Soil_T_Z250,Suction_Z650,0.42300130507724076
Soil_T_Z450,Suction_Z100,0.42262683034652415
Soil_T_Z450,AirTemp_Min,0.42110890954117175
Soil_T_Z550,TC550,0.42010332719329135
Soil_T_Z750,Suction_Z100,0.4168702234721686
Soil_T_Z900,Suction_Z350,0.4084574086623427
Soil_T_Z350,Suction_Z100,0.4079745058838171
Soil_T_Z800,Suction_Z350,0.403386698886273
Soil_T_Z750,Suction_Z750,0.40205980035177047
Soil_T_Z900,Suction_Z650,0.3991777953805161
Soil_T_Z650,TC550,0.39562309639407345
Soil_T_Z800,Suction_Z650,0.3954280936652951
Soil_T_Z850,Suction_Z350,0.3930167809833258
Soil_T_Z900,Suction_Z100,0.39207694144896443
Soil_T_Z800,Suction_Z100,0.39065261742048873
Soil_T_Z550,AirTemp_Mean,0.38820535683193047
Soil_T_Z250,TC550,0.386790028162348
Soil_T_Z850,Suction_Z100,0.38611374356697425
Soil_T_Z850,Suction_Z650,0.38507421254558094
Soil_T_Z550,AirTemp_Min,0.3792875049230744
Soil_T_Z650,HF.Bottom,0.37851272315935813
Soil_T_Z150,TC350,0.3773074474206005
Soil_T_Z150,Suction_Z350,0.3713324342118006
Soil_T_Z750,TC550,0.3699765251552757
Soil_T_Z100,TC350,0.36857190828066144
Soil_T_Z350,Suction_Z250,0.36531493182004016
Soil_T_Z450,Suction_Z250,0.3637849169956222
Soil_T_Z100,Suction_Z350,0.3611105870286859
Soil_T_Z550,Suction_Z250,0.3607733216335718
Soil_T_Z650,Suction_Z750,0.35574227144859105
Soil_T_Z250,AirTemp_Max,0.3551246405199554
Soil_T_Z350,TC750,0.3541495761843072
Soil_T_Z650,AirTemp_Mean,0.3534256200665582
Soil_T_Z250,Suction_Z100,0.35282930474968954
Soil_T_Z150,TC250,0.3527989712574494
Soil_T_Z450,TC750,0.35164509531467936
Soil_T_Z550,TC750,0.35057405522896523
Soil_T_Z650,AirTemp_Min,0.34577687154531056
