"Time","Z100","Z250","Z350","Z450","Z550","Z650","Z750"
"2019-07-18 00:00:00",3629.2,176.86,201.24,18.3,NA,12.35,12.29
"2019-07-18 00:15:00",3639.18,177.13,201.82,18.3,NA,12.35,12.29
"2019-07-18 00:30:00",3639.18,177.62,201.82,18.3,NA,12.35,12.29
"2019-07-18 00:45:00",3639.18,178.25,202.17,18.3,NA,12.35,12.27
"2019-07-18 01:00:00",3666.12,179.14,202.17,18.3,NA,12.35,12.26
"2019-07-18 01:15:00",3666.12,180.45,202.17,18.3,NA,12.35,12.24
"2019-07-18 01:30:00",3674.1,181.01,202.17,18.28,NA,12.35,12.22
"2019-07-18 01:45:00",3674.1,181.61,202.36,18.27,NA,12.35,12.22
"2019-07-18 02:00:00",3687.41,182.43,203.21,18.26,NA,12.35,12.23
"2019-07-18 02:15:00",3688.59,182.86,202.36,18.26,NA,12.35,12.23
"2019-07-18 02:30:00",3688.59,183.45,203.21,18.25,NA,12.35,12.26
"2019-07-18 02:45:00",3688.59,184.6,204.55,18.25,NA,12.35,12.26
"2019-07-18 03:00:00",3688.59,185.59,205.35,18.25,NA,12.35,12.3
"2019-07-18 03:15:00",3706.76,186.82,204.55,18.25,NA,12.35,12.3
"2019-07-18 03:30:00",3706.76,187.3,205.74,18.25,NA,12.35,12.28
"2019-07-18 03:45:00",3729.42,187.78,206.19,18.25,NA,12.35,12.28
"2019-07-18 04:00:00",3734.62,188.22,207.18,18.25,NA,12.35,12.26
"2019-07-18 04:15:00",3734.62,188.69,207.18,18.25,NA,12.35,12.26
"2019-07-18 04:30:00",3734.62,189.81,207.18,18.25,NA,12.35,12.24
"2019-07-18 04:45:00",3744.22,190.57,207.18,18.25,NA,12.35,12.22
"2019-07-18 05:00:00",3744.49,192.09,207.83,18.25,NA,12.35,12.22
"2019-07-18 05:15:00",3758.08,192.87,206.46,18.25,NA,12.35,12.23
"2019-07-18 05:30:00",3794.12,193.62,207.83,18.24,NA,12.35,12.23
"2019-07-18 05:45:00",3798.04,194,208.59,18.22,NA,12.35,12.27
"2019-07-18 06:00:00",3814.19,194.78,209.25,18.22,NA,12.35,12.28
"2019-07-18 06:15:00",3823.53,195.89,208.59,18.2,NA,12.35,12.28
"2019-07-18 06:30:00",3827.5,196.97,209.25,18.2,NA,12.35,12.28
"2019-07-18 06:45:00",3839.98,198.57,210.36,18.2,NA,12.35,12.28
"2019-07-18 07:00:00",3861.39,199.17,210.36,18.2,NA,12.35,12.28
"2019-07-18 07:15:00",3875.55,200.04,211.98,18.2,NA,12.35,12.22
"2019-07-18 07:30:00",3877.49,200.93,213.89,18.2,NA,12.35,12.22
"2019-07-18 07:45:00",3875.55,201.67,213.89,18.21,NA,12.35,12.21
"2019-07-18 08:00:00",3877.49,203.06,213.89,18.26,NA,12.35,12.21
"2019-07-18 08:15:00",3896.69,204.93,212.71,18.3,NA,12.35,12.28
"2019-07-18 08:30:00",3901.35,205.81,212.71,18.3,NA,12.35,12.3
"2019-07-18 08:45:00",3927.29,206.73,212.45,18.3,NA,12.35,12.28
"2019-07-18 09:00:00",3929.08,208.51,212.71,18.3,NA,12.35,12.3
"2019-07-18 09:15:00",3939.87,211.5,212.92,18.3,NA,12.35,12.3
"2019-07-18 09:30:00",3939.87,212.88,215.24,18.34,NA,12.35,12.3
"2019-07-18 09:45:00",3944.37,213.5,215.24,18.36,NA,12.35,12.3
"2019-07-18 10:00:00",3947.36,214.32,217.55,18.39,NA,12.35,12.3
"2019-07-18 10:15:00",3947.36,217.36,218.54,18.4,NA,12.35,12.3
"2019-07-18 10:30:00",3945.25,218.99,219.46,18.43,NA,12.35,12.29
"2019-07-18 10:45:00",3947.36,221.38,222.89,18.5,NA,12.35,12.29
"2019-07-18 11:00:00",3947.36,223.45,222.89,18.5,NA,12.35,12.29
"2019-07-18 11:15:00",3957.96,225.9,225.12,18.53,NA,12.35,12.3
"2019-07-18 11:30:00",3971.89,228.23,226,18.56,NA,12.35,12.29
"2019-07-18 11:45:00",3986.82,231.6,228.31,18.59,NA,12.35,12.29
"2019-07-18 12:00:00",3992.94,233.5,231.23,18.64,NA,12.35,12.29
"2019-07-18 12:15:00",3992.94,236.56,231.23,18.66,NA,12.35,12.26
"2019-07-18 12:30:00",3992.25,240.11,231.57,18.68,NA,12.35,12.24
"2019-07-18 12:45:00",3994.87,243.14,236.14,18.75,NA,12.35,12.24
"2019-07-18 13:00:00",3992.25,245.24,236.46,18.76,NA,12.35,12.24
"2019-07-18 13:15:00",3992.25,249.14,240.36,18.83,NA,12.35,12.27
"2019-07-18 13:30:00",3995.11,252.6,240.39,18.85,NA,12.35,12.28
"2019-07-18 13:45:00",3995.24,256.2,240.81,18.88,NA,12.35,12.28
"2019-07-18 14:00:00",3995.24,260.5,243.05,18.95,NA,12.35,12.28
"2019-07-18 14:15:00",3995.24,264.11,244.32,18.99,NA,12.35,12.27
"2019-07-18 14:30:00",3993.26,269.3,248.74,19.05,NA,12.35,12.26
"2019-07-18 14:45:00",3993.26,274.34,249.2,19.11,NA,12.35,12.24
"2019-07-18 15:00:00",3989.98,276.1,250.64,19.15,NA,12.35,12.23
"2019-07-18 15:15:00",3989.96,284.24,252.24,19.23,NA,12.35,12.23
"2019-07-18 15:30:00",3989.96,287.78,256.21,19.25,NA,12.35,12.23
"2019-07-18 15:45:00",4001.55,292.34,260.28,19.3,NA,12.35,12.23
"2019-07-18 16:00:00",3993.39,297.09,263.36,19.36,NA,12.35,12.24
"2019-07-18 16:15:00",3993.39,301.39,266.61,19.4,NA,12.35,12.24
"2019-07-18 16:30:00",3993.39,307.11,267.81,19.45,NA,12.35,12.27
"2019-07-18 16:45:00",3983.12,310.63,268.25,19.51,NA,12.35,12.27
"2019-07-18 17:00:00",3979.02,314.97,268.3,19.55,NA,12.36,12.27
"2019-07-18 17:15:00",3972.48,320.61,270.19,19.59,NA,12.36,12.28
"2019-07-18 17:30:00",3979.02,324.7,271.44,19.65,NA,12.36,12.28
"2019-07-18 17:45:00",3979.02,329.61,281.4,19.7,NA,12.36,12.28
"2019-07-18 18:00:00",3972.48,333.81,281.4,19.75,NA,12.37,12.27
