"Time","Z100","Z250","Z350","Z450","Z550","Z650","Z750"
"2019-07-18 00:00:00",8.02,3.24,2.8,6.7,11.5,13.39,15.7
"2019-07-18 00:15:00",8.01,3.25,2.8,6.71,11.5,13.39,15.7
"2019-07-18 00:30:00",8.01,3.25,2.8,6.71,11.5,13.39,15.7
"2019-07-18 00:45:00",8,3.25,2.8,6.72,11.5,13.39,15.7
"2019-07-18 01:00:00",8,3.25,2.8,6.74,11.5,13.39,15.7
"2019-07-18 01:15:00",8,3.25,2.8,6.74,11.5,13.39,15.7
"2019-07-18 01:30:00",8,3.25,2.8,6.74,11.5,13.39,15.7
"2019-07-18 01:45:00",8,3.25,2.8,6.75,11.5,13.38,15.7
"2019-07-18 02:00:00",8,3.25,2.8,6.75,11.5,13.38,15.7
"2019-07-18 02:15:00",8,3.25,2.8,6.75,11.5,13.38,15.7
"2019-07-18 02:30:00",7.99,3.25,2.8,6.75,11.5,13.38,15.7
"2019-07-18 02:45:00",7.98,3.25,2.8,6.75,11.5,13.38,15.7
"2019-07-18 03:00:00",7.98,3.25,2.8,6.76,11.5,13.38,15.7
"2019-07-18 03:15:00",7.98,3.25,2.8,6.76,11.5,13.38,15.7
"2019-07-18 03:30:00",7.98,3.24,2.8,6.77,11.5,13.38,15.7
"2019-07-18 03:45:00",7.97,3.25,2.8,6.78,11.5,13.38,15.7
"2019-07-18 04:00:00",7.96,3.24,2.81,6.78,11.51,13.37,15.7
"2019-07-18 04:15:00",7.96,3.24,2.81,6.78,11.51,13.38,15.7
"2019-07-18 04:30:00",7.95,3.24,2.81,6.78,11.5,13.38,15.69
"2019-07-18 04:45:00",7.95,3.24,2.8,6.79,11.5,13.37,15.69
"2019-07-18 05:00:00",7.94,3.24,2.8,6.79,11.5,13.37,15.69
"2019-07-18 05:15:00",7.94,3.24,2.8,6.8,11.5,13.37,15.69
"2019-07-18 05:30:00",7.94,3.24,2.8,6.8,11.5,13.37,15.69
"2019-07-18 05:45:00",7.92,3.24,2.8,6.8,11.49,13.36,15.68
"2019-07-18 06:00:00",7.91,3.24,2.8,6.8,11.49,13.36,15.68
"2019-07-18 06:15:00",7.91,3.25,2.8,6.8,11.48,13.36,15.69
"2019-07-18 06:30:00",7.91,3.25,2.8,6.8,11.48,13.36,15.69
"2019-07-18 06:45:00",7.91,3.24,2.8,6.78,11.47,13.36,15.69
"2019-07-18 07:00:00",7.91,3.24,2.8,6.76,11.46,13.36,15.69
"2019-07-18 07:15:00",7.91,3.24,2.8,6.76,11.46,13.34,15.68
"2019-07-18 07:30:00",7.91,3.24,2.81,6.75,11.46,13.35,15.65
"2019-07-18 07:45:00",7.91,3.25,2.81,6.75,11.46,13.34,15.64
"2019-07-18 08:00:00",7.91,3.25,2.8,6.74,11.46,13.34,15.63
"2019-07-18 08:15:00",7.88,3.25,2.8,6.74,11.45,13.34,15.62
"2019-07-18 08:30:00",7.88,3.25,2.8,6.72,11.45,13.33,15.62
"2019-07-18 08:45:00",7.88,3.24,2.79,6.7,11.45,13.32,15.62
"2019-07-18 09:00:00",7.88,3.24,2.79,6.7,11.45,13.32,15.62
"2019-07-18 09:15:00",7.88,3.23,2.79,6.7,11.45,13.31,15.61
"2019-07-18 09:30:00",7.88,3.23,2.79,6.66,11.45,13.31,15.61
"2019-07-18 09:45:00",7.88,3.22,2.77,6.65,11.45,13.3,15.6
"2019-07-18 10:00:00",7.88,3.23,2.77,6.62,11.45,13.31,15.6
"2019-07-18 10:15:00",7.88,3.23,2.77,6.61,11.45,13.3,15.6
"2019-07-18 10:30:00",7.86,3.23,2.77,6.56,11.45,13.3,15.6
"2019-07-18 10:45:00",7.86,3.23,2.77,6.56,11.45,13.3,15.6
"2019-07-18 11:00:00",7.85,3.23,2.75,6.55,11.45,13.3,15.6
"2019-07-18 11:15:00",7.85,3.22,2.74,6.54,11.45,13.3,15.6
"2019-07-18 11:30:00",7.84,3.21,2.74,6.51,11.43,13.3,15.6
"2019-07-18 11:45:00",7.84,3.21,2.74,6.48,11.41,13.3,15.6
"2019-07-18 12:00:00",7.85,3.21,2.74,6.48,11.4,13.3,15.6
"2019-07-18 12:15:00",7.85,3.21,2.73,6.47,11.4,13.3,15.6
"2019-07-18 12:30:00",7.84,3.21,2.73,6.42,11.4,13.3,15.6
"2019-07-18 12:45:00",7.84,3.21,2.72,6.41,11.4,13.3,15.59
"2019-07-18 13:00:00",7.84,3.2,2.72,6.36,11.4,13.3,15.59
"2019-07-18 13:15:00",7.84,3.2,2.72,6.35,11.4,13.3,15.59
"2019-07-18 13:30:00",7.84,3.2,2.71,6.35,11.4,13.3,15.58
"2019-07-18 13:45:00",7.84,3.2,2.7,6.35,11.39,13.3,15.57
"2019-07-18 14:00:00",7.85,3.2,2.7,6.33,11.38,13.29,15.55
"2019-07-18 14:15:00",7.84,3.2,2.71,6.32,11.38,13.28,15.55
"2019-07-18 14:30:00",7.84,3.2,2.7,6.28,11.37,13.28,15.55
"2019-07-18 14:45:00",7.84,3.2,2.7,6.28,11.37,13.28,15.54
"2019-07-18 15:00:00",7.84,3.2,2.71,6.26,11.35,13.26,15.52
"2019-07-18 15:15:00",7.84,3.2,2.7,6.25,11.35,13.26,15.51
"2019-07-18 15:30:00",7.85,3.2,2.7,6.22,11.35,13.26,15.5
"2019-07-18 15:45:00",7.85,3.2,2.7,6.2,11.35,13.26,15.5
"2019-07-18 16:00:00",7.85,3.2,2.7,6.19,11.35,13.26,15.5
"2019-07-18 16:15:00",7.85,3.2,2.7,6.19,11.35,13.25,15.5
"2019-07-18 16:30:00",7.85,3.2,2.69,6.17,11.35,13.25,15.5
"2019-07-18 16:45:00",7.85,3.2,2.69,6.16,11.35,13.25,15.5
"2019-07-18 17:00:00",7.85,3.2,2.69,6.14,11.35,13.25,15.49
"2019-07-18 17:15:00",7.85,3.2,2.7,6.14,11.35,13.25,15.47
"2019-07-18 17:30:00",7.84,3.2,2.69,6.13,11.35,13.25,15.46
"2019-07-18 17:45:00",7.85,3.2,2.69,6.11,11.35,13.25,15.46
"2019-07-18 18:00:00",7.84,3.2,2.69,6.1,11.35,13.25,15.45
"2019-07-18 18:15:00",7.84,3.2,2.69,6.1,11.33,13.25,15.45
"2019-07-18 18:30:00",7.84,3.2,2.69,6.1,11.32,13.25,15.45
"2019-07-18 18:45:00",7.84,3.2,2.69,6.09,11.3,13.25,15.45
"2019-07-18 19:00:00",7.84,3.2,2.69,6.09,11.28,13.25,15.44
"2019-07-18 19:15:00",7.84,3.2,2.7,6.08,11.28,13.25,15.44
"2019-07-18 19:30:00",7.84,3.2,2.69,6.08,11.25,13.25,15.44
"2019-07-18 19:45:00",7.84,3.2,2.69,6.08,11.25,13.25,15.44
"2019-07-18 20:00:00",7.84,3.2,2.69,6.08,11.25,13.25,15.43
"2019-07-18 20:15:00",7.83,3.2,2.69,6.08,11.25,13.25,15.41
"2019-07-18 20:30:00",7.82,3.2,2.69,6.08,11.25,13.25,15.41
"2019-07-18 20:45:00",7.82,3.2,2.69,6.08,11.25,13.24,15.4
"2019-07-18 21:00:00",7.82,3.2,2.7,6.08,11.25,13.23,15.4
"2019-07-18 21:15:00",7.82,3.2,2.7,6.1,11.25,13.23,15.4
"2019-07-18 21:30:00",7.82,3.2,2.7,6.1,11.25,13.21,15.4
"2019-07-18 21:45:00",7.82,3.2,2.7,6.11,11.25,13.2,15.4
"2019-07-18 22:00:00",7.82,3.2,2.7,6.11,11.25,13.2,15.4
"2019-07-18 22:15:00",7.82,3.2,2.7,6.12,11.25,13.2,15.4
"2019-07-18 22:30:00",7.82,3.2,2.7,6.12,11.25,13.2,15.4
"2019-07-18 22:45:00",7.8,3.2,2.7,6.12,11.24,13.2,15.4
"2019-07-18 23:00:00",7.8,3.2,2.69,6.12,11.23,13.2,15.4
"2019-07-18 23:15:00",7.8,3.2,2.69,6.12,11.23,13.2,15.4
"2019-07-18 23:30:00",7.8,3.2,2.7,6.12,11.22,13.2,15.4
"2019-07-18 23:45:00",7.77,3.2,2.7,6.12,11.21,13.2,15.4
"2019-07-19 00:00:00",7.77,3.2,2.7,6.12,11.21,13.2,15.4
"2019-07-19 00:15:00",7.77,3.2,2.7,6.12,11.2,13.2,15.4
"2019-07-19 00:30:00",7.77,3.2,2.69,6.13,11.19,13.2,15.4
"2019-07-19 00:45:00",7.78,3.2,2.69,6.14,11.19,13.2,15.4
"2019-07-19 01:00:00",7.78,3.2,2.69,6.15,11.19,13.2,15.4
"2019-07-19 01:15:00",7.78,3.2,2.69,6.15,11.2,13.2,15.4
"2019-07-19 01:30:00",7.78,3.2,2.69,6.16,11.19,13.2,15.4
"2019-07-19 01:45:00",7.78,3.2,2.69,6.17,11.19,13.2,15.4
"2019-07-19 02:00:00",7.78,3.2,2.69,6.17,11.19,13.2,15.4
"2019-07-19 02:15:00",7.77,3.2,2.7,6.17,11.19,13.2,15.4
"2019-07-19 02:30:00",7.77,3.2,2.7,6.17,11.19,13.2,15.4
"2019-07-19 02:45:00",7.77,3.2,2.7,6.18,11.19,13.19,15.4
"2019-07-19 03:00:00",7.77,3.2,2.7,6.18,11.19,13.2,15.4
"2019-07-19 03:15:00",7.77,3.2,2.7,6.18,11.19,13.19,15.4
"2019-07-19 03:30:00",7.77,3.2,2.7,6.18,11.19,13.19,15.4
"2019-07-19 03:45:00",7.76,3.2,2.7,6.18,11.18,13.18,15.4
"2019-07-19 04:00:00",7.76,3.2,2.7,6.17,11.18,13.14,15.4
"2019-07-19 04:15:00",7.76,3.2,2.7,6.17,11.18,13.14,15.4
"2019-07-19 04:30:00",7.76,3.2,2.7,6.17,11.18,13.14,15.4
"2019-07-19 04:45:00",7.76,3.2,2.7,6.18,11.18,13.14,15.4
"2019-07-19 05:00:00",7.76,3.2,2.7,6.18,11.17,13.14,15.4
"2019-07-19 05:15:00",7.76,3.2,2.7,6.18,11.16,13.14,15.4
"2019-07-19 05:30:00",7.76,3.2,2.7,6.18,11.16,13.13,15.4
"2019-07-19 05:45:00",7.74,3.2,2.7,6.17,11.17,13.13,15.4
"2019-07-19 06:00:00",7.74,3.2,2.7,6.17,11.16,13.12,15.4
"2019-07-19 06:15:00",7.74,3.2,2.7,6.18,11.15,13.12,15.4
"2019-07-19 06:30:00",7.75,3.2,2.7,6.17,11.17,13.12,15.4
"2019-07-19 06:45:00",7.75,3.2,2.7,6.17,11.15,13.12,15.4
